Timestamp,JOINT_LEFT_CLAVICLE.x,JOINT_LEFT_CLAVICLE.y,JOINT_LEFT_CLAVICLE.z,JOINT_LEFT_ELBOW.x,JOINT_LEFT_ELBOW.y,JOINT_LEFT_ELBOW.z,JOINT_LEFT_HIP.x,JOINT_LEFT_HIP.y,JOINT_LEFT_HIP.z,JOINT_LEFT_SHOULDER.x,JOINT_LEFT_SHOULDER.y,JOINT_LEFT_SHOULDER.z,JOINT_LEFT_WRIST.x,JOINT_LEFT_WRIST.y,JOINT_LEFT_WRIST.z,JOINT_NECK.x,JOINT_NECK.y,JOINT_NECK.z,JOINT_PELVIS.x,JOINT_PELVIS.y,JOINT_PELVIS.z,JOINT_RIGHT_CLAVICLE.x,JOINT_RIGHT_CLAVICLE.y,JOINT_RIGHT_CLAVICLE.z,JOINT_RIGHT_ELBOW.x,JOINT_RIGHT_ELBOW.y,JOINT_RIGHT_ELBOW.z,JOINT_RIGHT_HIP.x,JOINT_RIGHT_HIP.y,JOINT_RIGHT_HIP.z,JOINT_RIGHT_SHOULDER.x,JOINT_RIGHT_SHOULDER.y,JOINT_RIGHT_SHOULDER.z,JOINT_RIGHT_WRIST.x,JOINT_RIGHT_WRIST.y,JOINT_RIGHT_WRIST.z,JOINT_SPINE_1.x,JOINT_SPINE_1.y,JOINT_SPINE_1.z,JOINT_SPINE_2.x,JOINT_SPINE_2.y,JOINT_SPINE_2.z,JOINT_SPINE_3.x,JOINT_SPINE_3.y,JOINT_SPINE_3.z
1749651033784,0.23568249,0.010123432,-0.891352,0.34996656,-0.21320781,-0.8185401,0.23829974,-0.32341677,-0.7977228,0.2992649,0.015761629,-0.8698103,,,,0.15865946,0.006198302,-0.8643337,0.1466023,-0.32168052,-0.7878656,0.0977055,0.00082845986,-0.9565372,-0.03212144,-0.26761615,-1.0408517,0.06430566,-0.33962512,-0.82384986,0.022914084,-0.0037532896,-0.99333876,-0.06695166,-0.3973528,-0.99521834,0.15046297,-0.24531782,-0.8086134,0.15259011,-0.16275279,-0.8200451,0.15809336,-0.08394337,-0.8496205
1749651034051,0.23663886,0.014859185,-0.89496917,0.3501014,-0.21388692,-0.81856453,0.23966758,-0.3239502,-0.7961235,0.30002576,0.017776564,-0.87246186,,,,0.15799494,0.008204311,-0.86887455,0.1510826,-0.32183373,-0.78824097,0.09824173,0.005878195,-0.9617868,-0.03305097,-0.26796773,-1.0307248,0.0651952,-0.33785367,-0.82252717,0.01991501,-0.0014993548,-1.0061524,-0.07271036,-0.4044972,-1.0023619,0.15057497,-0.24550043,-0.80921537,0.15298359,-0.16317247,-0.8221597,0.15824917,-0.07956487,-0.85045797
1749651034084,0.2367303,0.014855385,-0.89533436,0.35132667,-0.21620706,-0.81895506,0.23767942,-0.32312828,-0.7977825,0.30169144,0.018776998,-0.87075996,,,,0.15861055,0.008886382,-0.86871713,0.14682065,-0.32161346,-0.7876556,0.09810165,0.0058590025,-0.9603534,-0.032847095,-0.26604456,-1.0311102,0.06424445,-0.3366267,-0.8229439,0.01890877,-0.0011145175,-1.0102327,-0.07151453,-0.40115705,-1.0000443,0.15059708,-0.24554482,-0.80933774,0.1531045,-0.16331035,-0.82284087,0.15824044,-0.07956991,-0.8504097
1749651034118,0.2368614,0.0148887485,-0.89579636,0.35057667,-0.21531728,-0.818563,0.236022,-0.32071555,-0.7932997,0.29996833,0.018705383,-0.8716542,,,,0.15815791,0.008891344,-0.87178504,0.14971873,-0.32179844,-0.7882089,0.098201685,0.0058986247,-0.9613335,-0.03458692,-0.2699044,-1.0344155,0.06658006,-0.3383747,-0.8238764,0.018653512,-0.0010533929,-0.9960519,-0.071665,-0.4019535,-1.00148,0.15059555,-0.24552351,-0.80935514,0.1530932,-0.1632729,-0.82276124,0.15521261,-0.080020934,-0.85563
1749651034152,0.2368414,0.014921784,-0.895747,0.35088664,-0.21549955,-0.81905806,0.23856954,-0.32227662,-0.795462,0.30070803,0.017598152,-0.8694616,,,,0.15913999,0.008072421,-0.8711625,0.1508202,-0.32180783,-0.7882997,0.09785783,0.0023091733,-0.9580123,-0.033827156,-0.26909867,-1.030812,0.06656971,-0.33840463,-0.8236916,0.019539317,-0.0017074049,-1.0017363,-0.07251237,-0.40288687,-1.0071294,0.15365973,-0.24520302,-0.8083739,0.15306024,-0.16320933,-0.82257485,0.15688068,-0.07975535,-0.85296994
1749651034185,0.23627809,0.011882424,-0.89353895,0.3515045,-0.21571398,-0.8190902,0.23841247,-0.32308057,-0.7965691,0.30211654,0.016834036,-0.8689524,,,,0.16003717,0.0076605976,-0.87149906,0.15128198,-0.32191336,-0.7884397,0.09806163,0.003908932,-0.9600712,-0.033320446,-0.26726824,-1.0316249,0.06598454,-0.33677632,-0.8230487,0.01956277,-0.0017892718,-0.9986826,-0.07184048,-0.4058539,-1.0091084,0.15223326,-0.24533242,-0.80867493,0.15308106,-0.16327533,-0.8226815,0.15767297,-0.07967451,-0.85154057
1749651034219,0.23871578,0.010452822,-0.8918683,0.35161257,-0.21571083,-0.8192132,0.23882641,-0.32319304,-0.7972498,0.30279997,0.015922204,-0.868412,,,,0.16105801,0.0066081733,-0.8696885,0.15148412,-0.32191718,-0.7886428,0.09785011,0.0020554364,-0.9579594,-0.032359727,-0.26477572,-1.0257453,0.065643296,-0.336053,-0.82067907,0.021586578,-0.0031368136,-0.9977687,-0.07175992,-0.40678313,-1.0102056,0.15140711,-0.2453183,-0.80890864,0.15310553,-0.16323048,-0.82282764,0.1579681,-0.08203241,-0.850117
1749651034252,0.23761292,0.009705186,-0.8918376,0.35133007,-0.21553104,-0.8193649,0.23928258,-0.32297873,-0.79782313,0.30324566,0.015567929,-0.86866844,,,,0.16102909,0.0065719485,-0.8693469,0.15152965,-0.3219878,-0.78875107,0.097715154,0.000981018,-0.9565194,-0.03143436,-0.26134712,-1.0287609,0.065944016,-0.33597982,-0.8209398,0.02121291,-0.002804488,-0.9978682,-0.06853955,-0.40315482,-1.0055271,0.15325499,-0.24524075,-0.80852044,0.15312761,-0.16327776,-0.82294834,0.15821964,-0.08108182,-0.84997267
1749651034286,0.23683073,0.009394094,-0.89209855,0.35124624,-0.21600705,-0.81949353,0.23884486,-0.32308364,-0.7980906,0.30267859,0.015695632,-0.8684102,,,,0.16046038,0.006781593,-0.86915636,0.14912616,-0.32187724,-0.78832924,0.09760844,0.00040461123,-0.9556211,-0.031066336,-0.25898075,-1.0317326,0.06502763,-0.33647716,-0.82149297,0.020656077,-0.0024859458,-1.0042945,-0.06872821,-0.39971787,-1.0030512,0.15212685,-0.24534872,-0.8087872,0.1531279,-0.16331941,-0.8229204,0.15833594,-0.08041029,-0.85001796
1749651034319,0.23664199,0.011795238,-0.89378476,0.3510274,-0.21621898,-0.8198594,0.23903769,-0.32403636,-0.7982058,0.30261165,0.016216815,-0.868289,,,,0.16028872,0.0071162283,-0.86906946,0.14753284,-0.3217831,-0.7880186,0.097562574,0.00020480156,-0.95530957,-0.030949775,-0.2581366,-1.032133,0.064045064,-0.33662677,-0.82232445,0.020359775,-0.0023159683,-1.0050262,-0.066147104,-0.39663315,-0.9983237,0.15131173,-0.24541786,-0.8089789,0.1531043,-0.16331354,-0.8227594,0.15836582,-0.07993437,-0.85008836
1749651034352,0.23629756,0.011145517,-0.89357984,0.3513501,-0.216696,-0.81971204,0.23855686,-0.3238219,-0.79855764,0.30246606,0.016214132,-0.8683389,,,,0.16022386,0.007189825,-0.8699779,0.14655004,-0.32165486,-0.78783613,0.097587235,0.0002940148,-0.95541656,-0.030915342,-0.25688905,-1.0303515,0.064144805,-0.3356682,-0.82179636,0.020072635,-0.0021533668,-1.0037161,-0.065091446,-0.397872,-0.9991974,0.15075663,-0.24539748,-0.8090803,0.15306811,-0.16322765,-0.8225661,0.15836854,-0.07957354,-0.8501952
1749651034386,0.2364066,0.012992352,-0.894831,0.35151494,-0.21609238,-0.82014847,0.23797163,-0.32396024,-0.79867685,0.30133694,0.016688064,-0.8685145,,,,0.15961786,0.0073974878,-0.87065554,0.146085,-0.32162023,-0.78757316,0.09759721,0.00033044815,-0.95574814,-0.030636072,-0.25755244,-1.0346489,0.06436039,-0.33498088,-0.8216743,0.019740993,-0.0022246987,-1.000739,-0.06383221,-0.39600685,-0.996213,0.15046416,-0.24547824,-0.8090942,0.15303305,-0.16325198,-0.82235086,0.15834713,-0.079485536,-0.8503607
1749651034419,0.23622295,0.011809707,-0.8941577,0.3515247,-0.21608454,-0.8199429,0.23844598,-0.3238291,-0.79882956,0.30141112,0.01632081,-0.86837256,,,,0.15949868,0.007450834,-0.86991,0.14593375,-0.3215714,-0.7873988,0.097878695,0.0030143708,-0.9590576,-0.030676808,-0.25697386,-1.0346695,0.0637252,-0.33510202,-0.8225802,0.019550197,-0.0016661137,-0.9988587,-0.06672005,-0.39713413,-1.0023872,0.15033972,-0.24551803,-0.8091052,0.1529964,-0.1632388,-0.8221533,0.15833145,-0.079464525,-0.8505377
